CourseID,Sec,EnrollCapacity,ProfessorName,Professor_PreferredTimeSlots
COMP 790,185,25,Kwong,"TTH_3,TTH_5,TTH_6"
COMP 590,80,30,Mayer-Patel,"TTH_1,TTH_2,TTH_3,TTH_4,TTH_5,TTH_6"
COMP 590,159,80,Munsell,"TTH_4,TTH_6"
COMP 590,177,60,Sengupta,"TTH_2,TTH_4"
COMP 590,59,90,Stotts,"TTH_1,TTH_2,TTH_3"
COMP 790,173,30,Szafir,"TTH_3,TTH_4,TTH_5"
COMP 790,183,40,Yao,TTH_2
COMP 790,188,30,Len,TTH_6
COMP 790,189,40,Deng,"MW_90,TTH_6"
COMP 790,150,30,Chen,TTH_5
COMP 590,173,30,Kandel,MW_78
COMP 790,186,25,Ding,MW_34
