CourseID,Sec,EnrollCapacity,ProfessorName,Professor_PreferredTimeSlots
COMP 110,1,150,Byrnes,"MWF_4,MWF_5,MWF_6,MWF_7,TTH_3,TTH_4"
COMP 110,3,150,Hinks,"TTH_1,TTH_3,TTH_6"
COMP 110,2,150,Byrnes,"MWF_4,MWF_5,MWF_6,MWF_7,TTH_3,TTH_4"
COMP 126,1,120,Joseph-Nicholas,"TTH_1,TTH_2,TTH_3,TTH_4,TTH_5,TTH_6,TTH_7"
COMP 210,1,160,Ghani,"TTH_5,TTH_6"
COMP 210,2,160,Ghani,"TTH_5,TTH_6"
COMP 211,2,200,McMahon,"MWF_2,MWF_3,MWF_4,MWF_5,MWF_6,MWF_7,MWF_8,MWF_9,MWF_10"
COMP 211,1,200,McMahon,"MWF_2,MWF_3,MWF_4,MWF_5,MWF_6,MWF_7,MWF_8,MWF_9,MWF_10"
COMP 227,1,30,Joseph-Nicholas,"TTH_1,TTH_2,TTH_3,TTH_4,TTH_5,TTH_6,TTH_7"
COMP 283,1,153,Snoeyink,"TTH_2,TTH_4,TTH_6"
COMP 301,2,200,Stotts,"TTH_1,TTH_2,TTH_3"
COMP 301,1,200,Mayer-Patel,"TTH_1,TTH_2,TTH_3,TTH_4,TTH_5,TTH_6"
COMP 311,2,150,Munsell,"TTH_4,TTH_6"
COMP 311,1,150,Munsell,"TTH_4,TTH_6"
COMP 380,1,80,Joseph-Nicholas,"TTH_1,TTH_2,TTH_3,TTH_4,TTH_5,TTH_6,TTH_7"
COMP 421,1,150,Berg,"TTH_3,TTH_4,TTH_5,TTH_6"
COMP 426,1,200,Gandecha,"MWF_3,MWF_4,MWF_5,MWF_6,MW_34,MW_56"
COMP 433,1,75,Nirjon,TTH_3
COMP 435,1,60,Sturton,"MWF_1,MWF_2,MWF_3,MWF_4,MWF_5"
COMP 455,1,150,Duggirala,TTH_3
COMP 475,1,60,Reed,"TTH_2,TTH_3"
COMP 523,1,60,Stotts,"TTH_1,TTH_2,TTH_3"
COMP 524,1,60,Dewan,"TTH_2,TTH_3,TTH_4"
COMP 530,1,75,Porter,"TTH_1,TTH_2,TTH_3,TTH_5"
COMP 537,1,60,Eskandarian,"TTH_3,TTH_4,TTH_5,TTH_6,TTH_7"
COMP 541,2,45,Pothukuchi,MW_78
COMP 541,1,45,Singh,"TTH_4,TTH_6"
COMP 550,2,120,Sun,"TTH_3,TTH_4,TTH_5"
COMP 550,1,150,Sun,"TTH_3,TTH_4,TTH_5"
COMP 560,1,120,Silva,"TTH_3,TTH_4,TTH_5"
COMP 560,1,120,Silva,TTH_7
COMP 562,1,60,Bertasius,"MW_34,MW_56,MW_78,MW_90"
COMP 581,1,60,Alterovitz,"MWF_1,MWF_2,MWF_3,MWF_4,MWF_5,MWF_6,MWF_7"
COMP 590,177,60,Sengupta,"TTH_2,TTH_4"
COMP 664,1,60,Srivastava,"TTH_1,TTH_2"
COMP 737,1,30,Anderson,"MWF_3,MWF_6,TTH_2,TTH_4,TTH_5"
COMP 750,1,30,Anderson,"MWF_3,MWF_6,TTH_2,TTH_4,TTH_5"
COMP 755,1,30,Oliva,"TTH_1,TTH_2"
COMP 790,185,25,Kwong,"TTH_3,TTH_5,TTH_6"
COMP 790,158,20,Chaturvedi,2H_class
COMP 790,173,30,Szafir,"TTH_3,TTH_4,TTH_5"
COMP 790,183,40,Yao,TTH_2
COMP 790,186,25,Ding,"MW_34,MW_56"
COMP 790,188,30,Len,TTH_6
COMP 790,189,40,Deng,"MW_90,TTH_6"
COMP 790,150,30,Chen,TTH_5
