Prof,Course
Montek Singh,COMP572
Tessa Joseph-Nicholas,COMP126
Tessa Joseph-Nicholas,COMP380
Tessa Joseph-Nicholas,COMP380H
Ketan Mayer-Patel,COMP301
Ketan Mayer-Patel,COMP426
Prairie Goodwin,COMP301
Sayeed Ghani,COMP210
P.S. Thiagarajan,COMP455
Jasleen Kaur,COMP431
Saba Eskandarian,COMP537
Saba Eskandarian,COMP455
Saba Eskandarian,COMP435
Saba Eskandarian,COMP590
Saba Eskandarian,COMP790
Ron Alterovitz,COMP581
Ron Alterovitz,COMP781
Ron Alterovitz,COMP782
Cynthia Sturton,COMP435
Marc Niethammer,COMP775
Izzi Hinks,COMP110
Samarjit Chakraborty,COMP545
Samarjit Chakraborty,COMP790-148
Donald Porter,COMP530
John Majikes,COMP421
John Majikes,COMP550
John Majikes,COMP116
Alyssa Byrnes,COMP110
Alyssa Byrnes,COMP116
Alyssa Byrnes,COMP210
Alyssa Byrnes,COMP283
Gedas Bertasius,COMP790-170
Roni Sengupta,COMP590-177
Kevin Sun,COMP283
Kevin Sun,COMP455
Kevin Sun,COMP550
Cece McMahon,COMP311
Cece McMahon,COMP541
Shahriar Nirjon,COMP433
Jack Snoeyink,COMP283
Brent Munsell,COMP211
Brent Munsell,COMP590
Brent Munsell,COMP530
Brent Munsell,COMP311
Brent Munsell,COMP116
James Anderson,COMP737
James Anderson,COMP750
Danielle Szafir,COMP790-172
Daniel Szafir,COMP581
Parasara Sridhar Duggirala,COMP089
Parasara Sridhar Duggirala,COMP790-144
Praneeth Chakravarthula,COMP790-175
Ben Berg,COMP790-178
Shashank Srivastava,COMP664
Snigdha Chaturvedi,COMP790-158
Huaxiu Yao,COMP790-183
Andrew Kwong,COMP790-185
Mike Reed,COMP475
Paul Stotts,COMP590-59
Paul Stotts,COMP523
Prasun Dewan,COMP524
Jorge Silva,COMP562
Kris Jordan,COMP590-140
Junier Oliva,COMP755
TBD,COMP421
Montek Singh,COMP541
